pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
POL-CSV-0001,17.440259,78.380266,FDR-HYD-NORTH-01,TRF-NORTH-01,1,,TRANSFORMER_POLE,Ward-2,500001,DEV-CSV-0001
POL-CSV-0002,17.440643,78.380573,FDR-HYD-NORTH-01,TRF-NORTH-01,2,POL-CSV-0001,TENSION,Ward-11,500001,DEV-CSV-0002
POL-CSV-0003,17.440912,78.380856,FDR-HYD-NORTH-01,TRF-NORTH-01,3,POL-CSV-0002,JUNCTION,Ward-6,500032,DEV-CSV-0003
POL-CSV-0004,17.441204,78.381154,FDR-HYD-NORTH-01,TRF-NORTH-01,4,POL-CSV-0003,SUSPENSION,Ward-11,500084,DEV-CSV-0004
POL-CSV-0005,17.441531,78.381469,FDR-HYD-NORTH-01,TRF-NORTH-01,5,POL-CSV-0004,SUSPENSION,Ward-8,500081,DEV-CSV-0005
POL-CSV-0006,17.441822,78.381782,FDR-HYD-NORTH-01,TRF-NORTH-01,6,POL-CSV-0005,SUSPENSION,Ward-11,500032,DEV-CSV-0006
POL-CSV-0007,17.442056,78.382082,FDR-HYD-NORTH-01,TRF-NORTH-01,7,POL-CSV-0006,SUSPENSION,Ward-14,500084,DEV-CSV-0007
POL-CSV-0008,17.442383,78.382351,FDR-HYD-NORTH-01,TRF-NORTH-01,8,POL-CSV-0007,TENSION,Ward-10,500081,DEV-CSV-0008
POL-CSV-0009,17.4427,78.382671,FDR-HYD-NORTH-01,TRF-NORTH-01,9,POL-CSV-0008,TENSION,Ward-5,500090,DEV-CSV-0009
POL-CSV-0010,17.442976,78.382994,FDR-HYD-NORTH-01,TRF-NORTH-01,10,POL-CSV-0009,TENSION,Ward-13,500081,DEV-CSV-0010
POL-CSV-0011,17.443335,78.383289,FDR-HYD-NORTH-01,TRF-NORTH-01,11,POL-CSV-0010,SUSPENSION,Ward-5,500032,DEV-CSV-0011
POL-CSV-0012,17.443556,78.38358,FDR-HYD-NORTH-01,TRF-NORTH-01,12,POL-CSV-0011,SUSPENSION,Ward-14,500032,DEV-CSV-0012
POL-CSV-0013,17.44391,78.383934,FDR-HYD-NORTH-01,TRF-NORTH-01,13,POL-CSV-0012,SUSPENSION,Ward-11,500001,DEV-CSV-0013
POL-CSV-0014,17.444182,78.384182,FDR-HYD-NORTH-01,TRF-NORTH-01,14,POL-CSV-0013,TENSION,Ward-6,500081,DEV-CSV-0014
POL-CSV-0015,17.444533,78.384499,FDR-HYD-NORTH-01,TRF-NORTH-01,15,POL-CSV-0014,TENSION,Ward-1,500001,DEV-CSV-0015
POL-CSV-0016,17.444752,78.38477,FDR-HYD-NORTH-01,TRF-NORTH-01,16,POL-CSV-0015,SUSPENSION,Ward-8,500001,DEV-CSV-0016
